hɪ bɪ ˈkɹækɪn	hiːz ˈjuːʒəli ˈkɹækɪŋ
ʃi bɪ ˈkɹækɪn	ʃiːz ˈjuːʒəli ˈkɹækɪŋ
ðeɪ bɪ ˈkɹækɪn	ðeɪər ˈjuːʒəli ˈkɹækɪŋ
hɪ bɪ ˈlʌvɪn	hiːz ˈjuːʒəli ˈlʌvɪŋ
ʃi bɪ ˈlʌvɪn	ʃiːz ˈjuːʒəli ˈlʌvɪŋ
ðeɪ bɪ ˈlʌvɪn	ðeɪər ˈjuːʒəli ˈlʌvɪŋ
hɪ bɪ ˈæktɪn	hiːz ˈjuːʒəli ˈæktɪŋ
ʃi bɪ ˈæktɪn	ʃiːz ˈjuːʒəli ˈæktɪŋ
ðeɪ bɪ ˈæktɪn	ðeɪər ˈjuːʒəli ˈæktɪŋ
hɪ bɪ ˈbloʊɪn	hiːz ˈjuːʒəli ˈbloʊɪŋ
ʃi bɪ ˈbloʊɪn	ʃiːz ˈjuːʒəli ˈbloʊɪŋ
ðeɪ bɪ ˈbloʊɪn	ðeɪər ˈjuːʒəli ˈbloʊɪŋ
hɪ bɪ ˈpleɪɪn	hiːz ˈjuːʒəli ˈpleɪɪŋ
ʃi bɪ ˈpleɪɪn	ʃiːz ˈjuːʒəli ˈpleɪɪŋ
ðeɪ bɪ ˈpleɪɪn	ðeɪər ˈjuːʒəli ˈpleɪɪŋ
hɪ bɪ ˈbɔːlɪn	hiːz ˈjuːʒəli ˈbɔːlɪŋ
ʃi bɪ ˈbɔːlɪn	ʃiːz ˈjuːʒəli ˈbɔːlɪŋ
ðeɪ bɪ ˈbɔːlɪn	ðeɪər ˈjuːʒəli ˈbɔːlɪŋ
hɪ bɪ ˈlɪnkɪn	hiːz ˈjuːʒəli ˈlɪnkɪŋ
ʃi bɪ ˈlɪnkɪn	ʃiːz ˈjuːʒəli ˈlɪnkɪŋ
ðeɪ bɪ ˈlɪnkɪn	ðeɪər ˈjuːʒəli ˈlɪnkɪŋ
hɪ bɪ ˈheɪtɪn	hiːz ˈjuːʒəli ˈheɪtɪŋ
ʃi bɪ ˈheɪtɪn	ʃiːz ˈjuːʒəli ˈheɪtɪŋ
ðeɪ bɪ ˈheɪtɪn	ðeɪər ˈjuːʒəli ˈheɪtɪŋ
hɪ bɪ ˈbʌstɪn	hiːz ˈjuːʒəli ˈbʌstɪŋ
ʃi bɪ ˈbʌstɪn	ʃiːz ˈjuːʒəli ˈbʌstɪŋ
ðeɪ bɪ ˈbʌstɪn	ðeɪər ˈjuːʒəli ˈbʌstɪŋ
hɪ bɪ ˈbʌɡɪn	hiːz ˈjuːʒəli ˈbʌɡɪŋ
ʃi bɪ ˈbʌɡɪn	ʃiːz ˈjuːʒəli ˈbʌɡɪŋ
ðeɪ bɪ ˈbʌɡɪn	ðeɪər ˈjuːʒəli ˈbʌɡɪŋ
hɪ bɪ ˈfuːlɪn	hiːz ˈjuːʒəli ˈfuːlɪŋ
ʃi bɪ ˈfuːlɪn	ʃiːz ˈjuːʒəli ˈfuːlɪŋ
ðeɪ bɪ ˈfuːlɪn	ðeɪər ˈjuːʒəli ˈfuːlɪŋ
hɪ bɪ ˈvaɪbɪn	hiːz ˈjuːʒəli ˈvaɪbɪŋ
ʃi bɪ ˈvaɪbɪn	ʃiːz ˈjuːʒəli ˈvaɪbɪŋ
ðeɪ bɪ ˈvaɪbɪn	ðeɪər ˈjuːʒəli ˈvaɪbɪŋ
hɪ bɪ ˈɹæpɪn	hiːz ˈjuːʒəli ˈɹæpɪŋ
ʃi bɪ ˈɹæpɪn	ʃiːz ˈjuːʒəli ˈɹæpɪŋ
ðeɪ bɪ ˈɹæpɪn	ðeɪər ˈjuːʒəli ˈɹæpɪŋ
hɪ bɪ ˈblæstɪn	hiːz ˈjuːʒəli ˈblæstɪŋ
ʃi bɪ ˈblæstɪn	ʃiːz ˈjuːʒəli ˈblæstɪŋ
ðeɪ bɪ ˈblæstɪn	ðeɪər ˈjuːʒəli ˈblæstɪŋ
hɪ bɪ ˈsleɪɪn	hiːz ˈjuːʒəli ˈsleɪɪŋ
ʃi bɪ ˈsleɪɪn	ʃiːz ˈjuːʒəli ˈsleɪɪŋ
ðeɪ bɪ ˈsleɪɪn	ðeɪər ˈjuːʒəli ˈsleɪɪŋ
hɪ bɪ ˈwɪpɪn	hiːz ˈjuːʒəli ˈwɪpɪŋ
